[2025-05-28 21:10:21,531: INFO: main: Logging has been set up successfully.]
[2025-05-28 21:12:30,135: INFO: main: Logging has been set up successfully.]
[2025-05-28 21:47:55,018: INFO: main: Logging has been set up successfully.]
[2025-05-28 22:34:35,073: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-28 22:34:35,083: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-28 22:34:35,088: INFO: common: created directory at: artifacts]
[2025-05-28 22:34:35,090: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-28 22:34:35,092: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1sNTz7It-n-2N-bSmNs_nwyycMLzdaagh/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-28 22:34:52,433: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1sNTz7It-n-2N-bSmNs_nwyycMLzdaagh/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-28 23:00:42,851: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-05-28 23:00:42,852: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-28 23:00:42,853: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-28 23:00:42,853: INFO: common: created directory at: artifacts]
[2025-05-28 23:00:42,854: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-28 23:00:42,854: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1sNTz7It-n-2N-bSmNs_nwyycMLzdaagh/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-28 23:00:58,289: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1sNTz7It-n-2N-bSmNs_nwyycMLzdaagh/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-28 23:00:59,537: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
